location,lat,lon,continent,num
"Julian Rocks, Byron Bay",-28.6324691,153.5866751,Australia,1
Kelpies near Wylie Bay,-33.8320195,121.9884152,Australia,1
"Kings Beach, Caloundra",-26.80463215,153.1408585,Australia,1
Kingscliff,-28.2566667,153.5761111,Australia,1
Kouare,13.8291611,-15.9245053,Australia,1
Koumac,-20.5613596,164.2811715,Australia,1
"Lachan Island, Mercury Passage",-36.85818705,174.7587046,Australia,1
Lake Macquarie,-33.0374325,151.5294684,Australia,1
"Lefthanders, Margaret River Area",-33.87526,114.986177,Australia,1
Lennox Head,-28.7910334,153.5878047,Australia,3
Lighthouse Beach,43.3408935,-77.7644529,Australia,3
Line Reef,-19.68192715,149.1995612,Australia,1
"Little Congwong Beach, La Perouse",-33.99139545,151.2382961,Australia,1
Lizard Island,-14.6683188,145.4609161,Australia,1
Lorne,-38.5411691,143.9748166,Australia,1
Maatsuyker Island,64.779262,-18.673522,Australia,1
"Magenta Beach, Noumea",-22.266051,166.47228,Australia,1
Magnetic Island,-19.142142,146.833549,Australia,1
Magra Islet,22.218832,87.708203,Australia,1
Makemo Atoll,-16.620591,-143.56863,Australia,2
Martin Islet,-34.49431,150.937771,Australia,1
Matauri Bay,-35.03392,173.9111,Australia,1
Mauds Point,53.6911294,-1.3108132,Australia,1
McKenzies Beach,-35.804334,150.226428,Australia,1
Mereweather Beach,-32.948378,151.756668,Australia,1
Merimbula,-36.888203,149.909846,Australia,1
Miall Island,-23.152512,150.905394,Australia,1
Mindarie,-31.689733,115.709182,Australia,1
"Mollymook Beach, Bannister Head",-35.319397,150.471511,Australia,1
Moreton Bay,-27.10731,152.902472,Australia,1
Nambucca,51.5610463,-0.1236568,Australia,1
Near Albany,42.6511674,-73.754968,Australia,1
"Nerang River, Surfer's Paradise",-27.99919,153.42602,Australia,1
"Nightcliff Jetty, Darwin",-12.378925,130.84194,Australia,1
Nofoali’i,-13.8203879,-171.9599041,Australia,1
Normanville,49.6948768,0.5941406,Australia,1
North Cottesloe,-26.186359,28.0185724,Australia,1
North Cronulla Beach,-34.050965,151.156301,Australia,1
North Shelly Beach,-33.366151,151.493343,Australia,1
North West Island,-23.295893,151.708254,Australia,2
Nouville,-22.26499,166.401902,Australia,1
"Off Airlie Beach, Whitsundays",-20.351821,148.956176,Australia,1
Off Blacksmith Beach,8.488129,-13.285824,Australia,1
Off Nhulunbuy,-12.18869,136.767653,Australia,1
"Off Tapuna Beach, Auckand",46.4215845,-62.949669,Australia,1
Off Tutukaka,-35.6,174.53333,Australia,1
Opunohu Bay,-17.508909,-149.85497,Australia,1
Oreti Beach,-46.438778,168.230527,Australia,2
Owarigi Island,53.09975,14.241523,Australia,1
Palm Cove,-16.747201,145.668545,Australia,1
"Pelican Waters, Caloundra",-26.832457,153.101174,Australia,1
Pitt Island or Chatham Island,-44.279973,-176.21582,Australia,1
Poe Beach,-21.609463,165.38872,Australia,1
"Point Casuarina, Bunbury",-33.327283,115.638324,Australia,1
"Porpoise Bay, Catlins",29.163914,-81.051961,Australia,1
Port South Marina,55.9942296,-3.4102137,Australia,1
"Pyramids Beach, Mandurah",-32.520448,115.700761,Australia,2
Queenscliff,-33.782392,151.285401,Australia,1
Ragelapara reef,-20.1124055,142.6569896,Australia,1
"Ricaudy Reef, Noumea",44.646762,-1.184172,Australia,1
Rottnest Island,-32.007009,115.520527,Australia,1
"Russel Island, Frankland Group",25.54318,-76.77662,Australia,1
Saltwater Beach,-32.017632,152.555633,Australia,1
Sam's Creek area,-36.373444,149.944776,Australia,1
Samurai Beach,-33.00183,137.2390005,Australia,1
"Seven Mile Beach, Byron Bay",-28.652511,153.613419,Australia,1
"Sharpes Beach, Ballina",52.699037,-0.287759,Australia,3
Shellharbour,-34.586474,150.769334,Australia,1
"Shelly Beach, Ballina",-28.862888,153.5949,Australia,2
"South Point, Gracetown",-33.864679,114.988159,Australia,2
Stradbroke Island,64.779262,-18.673522,Australia,1
"Surf Beach, Kiama",-34.676339,150.854559,Australia,1
"Surfers Point, Prevelly",-33.978221,114.994667,Australia,1
Swain Reef,35.836123,-79.05562,Australia,1
Takapoto Atoll,-14.632334,-145.17634,Australia,1
The Farm,35.4877251,-87.336685,Australia,1
Thirteenth Beach,-38.287614,144.477919,Australia,1
Ti Point,-36.321106,174.790608,Australia,1
Tomaree,-32.716573,152.187049,Australia,1
Trigg Beach,-31.877346,115.751583,Australia,1
"Tupapati, Hikueru Atoll",-17.54584,-142.66871,Australia,1
Two Rocks near Three Mile Reef,-30.61667,118.9,Australia,1
Tyrendarra Beach,-38.255694,141.785827,Australia,2
Urunga area,-30.495284,153.011883,Australia,1
Waterman's Bay,27.9963768,-80.657116,Australia,1
Weipa,-12.638664,141.871086,Australia,1
Westernport Bay,-38.228544,145.746376,Australia,1
Windang Beach,-34.536839,150.8716,Australia,1
Winkipop,-38.227359,144.339221,Australia,1
"Woorim Beach, Bribie Island,",64.779262,-18.673522,Australia,1
Wrights Bay,45.1586226,-79.746265,Australia,1
Yandaran Beach,-24.727112,152.105413,Australia,1
Yate,51.5403113,-2.4134281,Australia,1
New South Wales,-31.875984,147.286949,Australia,1
Vanua Levu,-16.578833,179.193093,Australia,1
Fiji,-16.5607767,174.1671807,Australia,1
Arenales del Sol,38.2511969,-0.520129111,Europe,1
"Arinaga Beach, Aguimes, Gran Canaria",27.902829,-15.446121,Europe,1
Bantham Beach,50.2803847,-3.882804983,Europe,1
"Estanys Beach, Colonia de Sant",39.316783,2.993916,Europe,1
Gran Canaria,27.9580004,-15.60623054,Europe,1
"Las Teresitas, Tenerife",28.5071857,-16.1888025,Europe,1
Playa d’en Bossa,38.8877,1.4056,Europe,1
16 miles off Hilton Head,32.186192,-80.714287,North America,1
"3 miles off Jupiter, Palm Beach County",26.95241,-80.08479,North America,1
8 miles off Mobile,30.7651785,-88.1415499,North America,1
"Amelia Island, Nassau County",30.6077379,-81.4600909,North America,1
"Anaehoomalu Bay, Hawaii",19.9154922,-155.8897838,North America,1
Athol Island,64.779262,-18.673522,North America,1
"Atlantic Beach, Emerald Isle, Carteret County",34.6554744,-77.0580759,North America,2
"Atlantique Beach, Fire Island, Suffolk County",40.6417443,-73.1728734,North America,1
"Avalon State Park Beach, North Hutchinson Island, St Lucie County",27.27148,-80.206201,North America,1
"Avon, Hatteras Island, Outer Banks, Dare County",35.215573,-75.689295,North America,1
"Awendaw, Charleston County",33.0376703,-79.613127,North America,1
"Bald Head Island, Brunswick County",33.8618933,-77.995528,North America,2
Bathtub Beach,27.18588305,-80.16071627,North America,1
"Bavaro Beach, Punta Cana",18.726485,-68.46192,North America,1
"Bethune Beach, Volusia County",28.9491539,-80.83783,North America,1
"Between Pescadero Point & Bean Hollow Beach, San Mateo County",37.2308203,-122.4177998,North America,1
"Big Talbot Island, Duval County",30.4835724,-81.4400884,North America,1
Bimini,25.7032538,-79.27330628,North America,1
"Blockhouse Beach, Brevard County",35.232996,-82.731589,North America,1
"Boca Raton, Palm Beach County",26.3586885,-80.0830984,North America,1
"Browns, Oahu",51.38201995,-2.358244141,North America,1
"Bunkers, Humboldt Bay, Eureka, Humboldt County",40.7408737,-124.2086868,North America,1
"Burkes Beach, Hilton Head, Beaufort County",32.1933234,-80.69492145,North America,1
Cabo Catoche,21.1577882,-86.8455342,North America,1
"Cape Kiwanda, Tillamook County",45.2167126,-123.9803347,North America,1
"Capitola, Santa Cruz County",36.9762927,-121.954057,North America,1
"Charlie Young Beach, Kihei, Maui",20.7476261,-156.4549898,North America,1
"Cocoa Beach, Brevard County",28.3194741,-80.6102592,North America,6
Compass Cay,24.2707658,-76.52078514,North America,2
"Corona Del Mar, Newport, Orange County",33.5995916,-117.873739,North America,1
Cortes Bank,10.3346075,123.9412744,North America,1
"Cove Park, Kihei, Maui",20.72778925,-156.4497315,North America,1
"Crescent Beach, St Johns County",44.2380664,-64.4142153,North America,1
"Davidsons Beach, Kekaha, Kauai",21.96058,-159.70488,North America,1
"Daytona Beach, Volusia County",29.2108147,-81.0228331,North America,5
"DeBordieu Colony, Georgetown County",33.3690565,-79.1517111,North America,1
"Deer Creek Beach, Ventura County",25.8138,-98.84624,North America,1
"Deerfield Beach, Broward County",26.318342,-80.0996306,North America,1
"Destin, Okaloosa County",30.3935337,-86.4957834,North America,1
"Drakes Estero, Point Reyes, Marin County",38.0492551,-122.9584585,North America,1
"El Pescador Beach, Los Angeles County",34.03920555,-118.8928612,North America,1
Farallon Islands,37.7332634,-123.0344446,North America,1
"Fernandina Beach, Amelia Island, Nassau County",30.61147,-81.4559,North America,3
"Flagler Beach, Flagler County",29.4749927,-81.1269982,North America,1
"Flinders, Mornington Penisula",-38.2128651,145.032813,North America,1
Floreat Beach,-31.9310469,115.7548327,North America,1
"Florida Keys, Monroe County",24.6670875,-81.5831421,North America,3
Folette,45.9477939,-0.8424899,North America,1
"Folly Beach, Charleston County",32.6549967,-79.9406093,North America,1
Fort Lauderdale,26.1223084,-80.1433786,North America,2
"Fort Macon State Beach, Carteret County",34.6987266,-76.69236137,North America,2
"Fort Pierce, St. Lucie County",27.4467056,-80.3256056,North America,2
Fort Worth,32.753177,-97.3327459,North America,1
Galveston,29.3056996,-94.7933252,North America,2
"Gaviota State Beach, Santa Barbara County",34.475685,-120.228403,North America,1
Grand Cayman,19.3298691,-81.17122908,North America,1
Great Exuma,36.223089,-81.7761012,North America,1
Great Guana Cay,24.0888191,-76.3911591,North America,1
Green Turtle Cay,23.46909645,-75.84463478,North America,1
Guardalavaca Beach,20.8862423,-76.2440856,North America,1
"Haleiwa, Oahu",21.5817934,-158.1050145,North America,1
"Hanalei Bay, Kauai",22.21,-159.5091667,North America,3
"Hanna Park, Jacksonville, Duval County",30.37095535,-81.40284285,North America,2
Hapuna Beach,19.99224725,-155.8257564,North America,1
"Haulover Beach, Miami-Dade County",25.9075625,-80.1214099,North America,2
"Hilton Head Island, Beaufort County",32.1618488,-80.7512616,North America,1
"Hobe Sound, Martin County",27.059498,-80.1364323,North America,1
"Honokowai Point, Maui",20.9481316,-156.6919043,North America,1
"Hooipa Beach Park, Maui",44.572828,-109.058803,North America,1
"Horseshoe Rock, Santa Barbara County",-5.680002,-43.101736,North America,1
"Hugenot Beach , Jacksonville, Duval County",-33.835056,18.54456,North America,2
"Hultin's Beach, Oahu",57.689664,11.972958,North America,1
"Huntington Beach, Orange County",33.6783336,-118.000016,North America,1
"Indian Beach, Ecola State Park, Clatsop County",30.13122685,-85.73602882,North America,1
"Isle of Palms County Park, Isle of Palms, Charleston County",32.78677625,-79.78579264,North America,3
"Jacksonville Beach, Duval County",30.2946859,-81.3931396,North America,6
Jensen Beach,27.2500487,-80.2304161,North America,1
"Juno Beach, Palm Beach County",26.8815475,-80.0539253,North America,1
Kaiwi Channel,21.2382,-157.4815,North America,2
"Kalapaki Beach, Kauai",21.96022935,-159.3517224,North America,1
"Kama‘ole Beach Park, Maui",44.572828,-109.058803,North America,1
"Kamaole Beach Park I, Maui",20.72133105,-156.4474007,North America,1
Kanahena Cove,41.215921,-77.083373,North America,1
"Kekaha Beach, Kauai",21.9746981,-159.7424363,North America,2
Key Biscayne,25.6968351,-80.1635261,North America,1
"Kihei, South Maui",20.7442225,-156.447117,North America,1
"Kingston Plantation, Myrtle Beach, Horry County",33.76738335,-78.77781528,North America,1
Kukio Beach,19.817363,-155.9987741,North America,1
"La Jolla, San Diego County",32.8401623,-117.2740777,North America,1
La Ticla,18.4546571,-103.5538124,North America,1
La'aloa Beach Park,21.340376,-158.107462,North America,1
Lahaina,20.8738769,-156.677678,North America,1
"Lanikai Beach, Kailua, Oahu",21.3917342,-157.7148121,North America,1
"Lantana Beach, Palm Beach County",26.5865308,-80.052166,North America,1
"Leftovers, Oahu",21.63111,-158.07667,North America,1
"Lighhouse Point Park, Ponce Inlet, Volusia County",29.100094,-80.9315,North America,1
"Lori Wilson Park, Cocoa Beach, Brevard County",28.33658225,-80.60851228,North America,1
"Los Arbolitos, Cabo Pulmo",17.83556,-92.50806,North America,1
Magdalena Bay,24.6249712,-111.9736,North America,1
"Makaha Beach, Oahu",-12.206631,-77.014699,North America,3
"Malaka, Oahu",-6.8285405,108.032305,North America,1
Manuelita,22.4168489,-80.007742,North America,3
"Marathon, Monroe County",38.1532724,23.9620892,North America,1
"Marconi Beach, Wellfleet, Barnstable County",41.8910565,-69.961417,North America,1
Maui,20.8029568,-156.31068,North America,1
"Mayport Naval Station Beach, Duval County",30.3842526,-81.41534,North America,2
Mazlatan,23.2468713,-106.5016052,North America,1
"Melbourne Beach, Brevard County",28.0683496,-80.56033,North America,4
"""Menauhant Beach, Falmouth,",41.5497635,-70.555159,North America,1
"Middle Sambo Reef off Boca Chica, Monroe County",47.85131,-121.98551,North America,1
Monterey Bay,36.7999557,-121.90107,North America,1
"Moonstone Beach, South Kingstown, Washington County",41.398406,-71.576296,North America,2
"Morro Bay, San Luis Obispo County",35.3658075,-120.8499,North America,2
"Murrells Inlet, Georgetown County",33.5499183,-79.043033,North America,1
"Myrtle Beach, Horry County",33.6956461,-78.890041,North America,2
"Napoopoo Park in Kealakekua Bay, The Big Island",51.364983,-0.473212,North America,1
Nassau,25.0782266,-77.338344,North America,1
"Near Patrick AFB, Brevard County",35.232996,-82.731589,North America,1
"Near the Bahia Honda Bridge, Monroe County",47.85131,-121.98551,North America,1
"Neptune, Duval County",39.0753562,-81.779855,North America,1
"New Smyrna Beach, Volusia County",29.0258132,-80.927127,North America,30
Nirvana Beach,43.3037958,28.0526565,North America,1
"North Koahala, Big Island",35.797427,-79.046024,North America,1
"North Myrtle Beach, Horry County",33.8278405,-78.680032,North America,2
"Oak Island, Brunswick County",33.9046184,-78.08277,North America,2
"Ocean Isle, Brunswick County",45.806852,1.220199,North America,2
"Ocean Reef Park, Singer Island, Palm Beach County",26.78506,-80.03754,North America,3
"Oceanside, San Diego County",33.1958696,-117.37948,North America,1
"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",36.601808,-83.635109,North America,1
Off Andros Island,64.779262,-18.673522,North America,1
Off Barra Vieja,47.836203,11.12763,North America,1
"Off Boca Grande, Lee County",26.74896,-82.26204,North America,1
Off Cabo Rojo,50.9296765,6.9378969,North America,1
"Off Cape Hatteras, Dare County",35.215573,-75.689295,North America,1
"Off Gloucester, Essec County",13.918249,100.601011,North America,1
Off Jupiter,41.8956848,12.4685752,North America,1
Off Key Biscayne,25.69119,-80.165652,North America,1
"Off Leffingwell Landing, San Luis Obispo County",35.266778,-120.65944,North America,1
"Off Palos Verdes peninsula, Los Angeles County",33.794341,-118.3907,North America,1
Off Panama City,8.9936,-79.51973,North America,1
Off San Diego,33.0495163,-116.30145,North America,1
"Off Singer Island, Palm Beach County",-36.782501,175.04461,North America,1
"Off Surf City, Pender County",34.43284,-77.550022,North America,1
Off Surfside,25.878625,-80.124731,North America,1
"Olowalu, Maui",20.811858,-156.62211,North America,1
"Ormond Beach, Volusia County",29.2854132,-81.055792,North America,1
"Palm Beach, Palm Beach County",26.7056172,-80.036152,North America,2
"Pelican Beach Park, Satellite Beach, Brevard County",28.1681896,-80.587898,North America,1
"Pepper Park Beach, St. Lucie County",46.9117199,-104.00826,North America,1
"Piedade Beach, Recife",-8.0541,-34.878944,North America,2
"Pirates Beach, Galveston",29.2055522,-94.936934,North America,1
Playa Grande,10.6544136,-63.284914,North America,1
"Playalinda Beach, Brevard County",46.924002,-103.98158,North America,3
"Ponce Inlet, Volusia County",29.0963729,-80.936998,North America,4
"Ponte Vedra, St. Johns County",42.4318876,-8.6431592,North America,3
"Port Lucaya, Freeport",26.53333,-78.66667,North America,1
"Refugio State Beach, Santa Barbara County",34.465078,-120.06842,North America,1
"Resident's Beach, Marco Island",25.9359368,-81.7325,North America,1
"Rodanthe, Dare County",35.5934472,-75.467808,North America,2
Rose Island,25.1050659,-77.155289,North America,2
"Sánchez Magallanes, Cárdenas",18.2934195,-93.8718108,North America,1
"Sailors Haven, Fire Island, Suffolk County",40.714522,-72.919395,North America,1
"San Onofre, San Diego County",9.7386264,-75.523423,North America,1
"Sandspit Beach, Montaña de Oro State Park",34.259517,-78.52361,North America,1
Santa Barbara County,34.7136533,-119.98582,North America,1
"Santa Cruz, Santa Cruz County",36.9743626,-122.02947,North America,1
"Santa Rosa Island, Ventura County",33.9660765,-120.1928467,North America,1
"Satellite Beach, Brevard County",28.1761233,-80.590052,North America,1
"Sea Pines Resort, Hilton Head Island, Beaufort County",32.1317865,-80.792855,North America,1
"Seal Rock, Goleta Beach, Santa Barbara",34.4196961,-119.8353,North America,1
"Ship Bottom, Ocean County",39.6496005,-74.175717,North America,1
"Shipwreck’s Beach, Keoneloa Bay, Kauai",34.354234,-84.629293,North America,1
"Shipyard Beach Club, Hilton Head Island, Beaufort County",32.182661,-80.729599,North America,1
"Singer Island, Palm Beach County",26.7850625,-80.037541,North America,1
"Snipes Point, Monroe County",43.943076,-90.617823,North America,1
"South Beach, Hunting Island State Park, Beaufort County",32.3518759,-80.463411,North America,2
"South Beach, Westport, Grays Harbor County",46.8889535,-124.10643,North America,1
"South Padre Island, Cameron County",26.1036887,-97.164694,North America,
Southeast of Puerto Peñasco,41.40537,-73.60013,North America,1
"St Augustine, St Johns County",29.8946952,-81.31454,North America,2
"St. Helena Island, Beaufort County",32.3868607,-80.560662,North America,1
"St. Petersburg, Pinellas County",59.938732,30.316229,North America,1
"St. Simon Island, Glynn County",36.613324,-76.198426,North America,1
Staniel Cay,24.1706517,-76.441588,North America,1
"Stearns Wharf, Santa Barbara",34.4120404,-119.68915,North America,1
"Stillwater Cove, Monterey County",33.2599536,-111.86256,North America,1
"Stuart Beach, Martin County",46.92277,-103.98052,North America,1
Sullivan's Island,32.770151,-79.831336,North America,2
"Sunset Beach, Brunswick County",39.6795241,-79.856446,North America,1
Surf City,39.6587349,-74.168292,North America,1
"Surfside, Orange County",25.8784285,-80.125601,North America,1
"Tahiti Beach, Elbow Cay",25.701551,-80.24648,North America,1
Talofofo Bay,13.353904,144.753293,North America,1
Tiger Beach,20.7609394,107.064002,North America,1
"Trinidad Beach, Huboldt County",-34.26054,-57.621656,North America,1
Troncones,17.7801832,-101.72122,North America,1
"Upolu Point, North Kohala, Big Island",20.903433,78.935393,North America,1
Ventnor,50.594976,-1.2029747,North America,1
"Vero Beach, St. Lucie County",27.6387163,-80.39754,North America,3
"Vilano Beach, St. Johns County",29.9188576,-81.29285,North America,2
Waikoloa area,19.9248257,-155.88667,North America,1
"Wailea Beach, Maui",20.6825633,-156.44311,North America,2
"White Plains Beach, Oahu",14.354165,121.053136,North America,1
"Wilmington River, Chatham County",32.0487979,-81.032328,North America,1
"Windsor Beach, Indian River County",43.2539508,-77.597224,North America,1
Maui,20.8029568,-156.31068,North America,1
Exumas,24.5944262,-76.809766,North America,1
40 miles off Grand Bahama Island,64.779262,-18.673522,North America,4
Bimini,25.7032538,-79.273306,North America,1
Bahamas,24.4165551,-78.6076971,North America,1
"Boa Viagem, Recife",-8.1235027,-34.9033955,South America,1
Boat capsized,-40.94844,145.63032,South America,1
Cacimba do Padre,-3.84975155,-32.43898607,South America,1
Conceicao Beach,-27.6275975,-48.4478027,South America,1
Escalerio Beach Balneário Camboriú,44.057308,-64.641656,South America,1
Estaleirinho beach,-27.04926805,-48.58776831,South America,1
Fernando de Noronha Marine Park,-3.8545643,-32.37861623,South America,2
"Punta Vicente Roca, Isabella Island",-40.12908,147.94348,South America,1
Santa Fe Island,42.1291881,-90.191517,South America,1
Isla Providencia,8.37496005,-62.767664,South America,1
